"Town/County","FIPS","Year","NAICS Code","Industry Name","Rank","Measure Type","Variable","Value"
"Chaplin","0901513810",2014,"23","Construction",-1,"US Dollars","Annual Average Wage",24396.7
"Chaplin","0901513810",2014,"23","Construction",-1,"Number","Number of Employers",12
"Chaplin","0901513810",2014,"31-33","Manufacturing",-1,"Number","Annual Average Employment",-9999
"Chaplin","0901513810",2014,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",-9999
"Chaplin","0901513810",2014,"31-33","Manufacturing",-1,"Number","Number of Employers",-9999
"Chaplin","0901513810",2014,"44-45","Retail Trade",-1,"Number","Annual Average Employment",20.58
"Chaplin","0901513810",2014,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",15075.6
"Chaplin","0901513810",2014,"44-45","Retail Trade",-1,"Number","Number of Employers",4
"Chaplin","0901513810",2014,"","Total - All Industries",-1,"Number","Annual Average Employment",337.25
"Chaplin","0901513810",2014,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",29829.1
"Chaplin","0901513810",2014,"","Total - All Industries",-1,"Number","Number of Employers",46
"Chaplin","0901513810",2014,"","Total Government",-1,"Number","Annual Average Employment",175.42
"Chaplin","0901513810",2014,"","Total Government",-1,"US Dollars","Annual Average Wage",36395.3
"Chaplin","0901513810",2014,"","Total Government",-1,"Number","Number of Employers",11
"Chaplin","0901513810",2014,"","Local/Municipal Government",1,"Number","Annual Average Employment",173.08
"Chaplin","0901513810",2014,"","Local/Municipal Government",1,"US Dollars","Annual Average Wage",36168.5
"Chaplin","0901513810",2014,"","Local/Municipal Government",1,"Number","Number of Employers",9
"Chaplin","0901513810",2014,"72","Accommodation and Food Services",2,"Number","Annual Average Employment",41.5
"Chaplin","0901513810",2014,"72","Accommodation and Food Services",2,"US Dollars","Annual Average Wage",12219
"Chaplin","0901513810",2014,"72","Accommodation and Food Services",2,"Number","Number of Employers",7
"Chaplin","0901513810",2014,"54","Professional, Scientific, and Technical Services",3,"Number","Annual Average Employment",3
"Chaplin","0901513810",2014,"54","Professional, Scientific, and Technical Services",3,"US Dollars","Annual Average Wage",49693.7
"Chaplin","0901513810",2014,"54","Professional, Scientific, and Technical Services",3,"Number","Number of Employers",3
"Chaplin","0901513810",2015,"23","Construction",-1,"Number","Annual Average Employment",-9999
"Chaplin","0901513810",2015,"23","Construction",-1,"US Dollars","Annual Average Wage",-9999
"Chaplin","0901513810",2015,"23","Construction",-1,"Number","Number of Employers",-9999
"Chaplin","0901513810",2015,"31-33","Manufacturing",-1,"Number","Annual Average Employment",-9999
"Chaplin","0901513810",2015,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",-9999
"Chaplin","0901513810",2015,"31-33","Manufacturing",-1,"Number","Number of Employers",-9999
"Chaplin","0901513810",2015,"44-45","Retail Trade",-1,"Number","Annual Average Employment",15.67
"Chaplin","0901513810",2015,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",17277.6
"Chaplin","0901513810",2015,"44-45","Retail Trade",-1,"Number","Number of Employers",4
"Chaplin","0901513810",2015,"","Total - All Industries",-1,"Number","Annual Average Employment",318.33
"Chaplin","0901513810",2015,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",32786
"Chaplin","0901513810",2015,"","Total - All Industries",-1,"Number","Number of Employers",45
"Chaplin","0901513810",2015,"","Total Government",-1,"Number","Annual Average Employment",177.42
"Chaplin","0901513810",2015,"","Total Government",-1,"US Dollars","Annual Average Wage",35803.3
"Chaplin","0901513810",2015,"","Total Government",-1,"Number","Number of Employers",10
"Chaplin","0901513810",2015,"","Local/Municipal Government",1,"Number","Annual Average Employment",175.83
"Chaplin","0901513810",2015,"","Local/Municipal Government",1,"US Dollars","Annual Average Wage",35471.9
"Chaplin","0901513810",2015,"","Local/Municipal Government",1,"Number","Number of Employers",9
"Chaplin","0901513810",2015,"72","Accommodation and Food Services",2,"Number","Annual Average Employment",25.42
"Chaplin","0901513810",2015,"72","Accommodation and Food Services",2,"US Dollars","Annual Average Wage",15649.8
"Chaplin","0901513810",2015,"72","Accommodation and Food Services",2,"Number","Number of Employers",5
"Chaplin","0901513810",2015,"","Federal Government",3,"Number","Annual Average Employment",1.58
"Chaplin","0901513810",2015,"","Federal Government",3,"US Dollars","Annual Average Wage",72610.7
"Chaplin","0901513810",2015,"","Federal Government",3,"Number","Number of Employers",1
"Cheshire","0900914160",2014,"23","Construction",-1,"Number","Annual Average Employment",575.25
"Cheshire","0900914160",2014,"23","Construction",-1,"US Dollars","Annual Average Wage",71013.5
"Cheshire","0900914160",2014,"23","Construction",-1,"Number","Number of Employers",76
"Cheshire","0900914160",2014,"31-33","Manufacturing",-1,"Number","Annual Average Employment",2000.42
"Cheshire","0900914160",2014,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",79575.5
"Cheshire","0900914160",2014,"31-33","Manufacturing",-1,"Number","Number of Employers",48
"Cheshire","0900914160",2014,"44-45","Retail Trade",-1,"Number","Annual Average Employment",2171
"Cheshire","0900914160",2014,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",27832.8
"Cheshire","0900914160",2014,"44-45","Retail Trade",-1,"Number","Number of Employers",80
"Cheshire","0900914160",2014,"","Total - All Industries",-1,"Number","Annual Average Employment",16127.6
"Cheshire","0900914160",2014,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",59150.1
"Cheshire","0900914160",2014,"","Total - All Industries",-1,"Number","Number of Employers",945
"Cheshire","0900914160",2014,"","Total Government",-1,"Number","Annual Average Employment",2047.67
"Cheshire","0900914160",2014,"","Total Government",-1,"US Dollars","Annual Average Wage",59703.6
"Cheshire","0900914160",2014,"","Total Government",-1,"Number","Number of Employers",25
"Cheshire","0900914160",2014,"42","Wholesale Trade",1,"Number","Annual Average Employment",1932.75
"Cheshire","0900914160",2014,"42","Wholesale Trade",1,"US Dollars","Annual Average Wage",65101.8
"Cheshire","0900914160",2014,"42","Wholesale Trade",1,"Number","Number of Employers",110
"Cheshire","0900914160",2014,"62","Health Care and Social Assistance",2,"Number","Annual Average Employment",1741.42
"Cheshire","0900914160",2014,"62","Health Care and Social Assistance",2,"US Dollars","Annual Average Wage",33086.8
"Cheshire","0900914160",2014,"62","Health Care and Social Assistance",2,"Number","Number of Employers",94
"Cheshire","0900914160",2014,"","Local/Municipal Government",3,"Number","Annual Average Employment",1124.92
"Cheshire","0900914160",2014,"","Local/Municipal Government",3,"US Dollars","Annual Average Wage",51755.6
"Cheshire","0900914160",2014,"","Local/Municipal Government",3,"Number","Number of Employers",13
"Cheshire","0900914160",2015,"23","Construction",-1,"Number","Annual Average Employment",620.75
"Cheshire","0900914160",2015,"23","Construction",-1,"US Dollars","Annual Average Wage",73420.4
"Cheshire","0900914160",2015,"23","Construction",-1,"Number","Number of Employers",80
"Cheshire","0900914160",2015,"31-33","Manufacturing",-1,"Number","Annual Average Employment",1679.92
"Cheshire","0900914160",2015,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",66261.6
"Cheshire","0900914160",2015,"31-33","Manufacturing",-1,"Number","Number of Employers",46
"Cheshire","0900914160",2015,"44-45","Retail Trade",-1,"Number","Annual Average Employment",-9999
"Cheshire","0900914160",2015,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",-9999
"Cheshire","0900914160",2015,"44-45","Retail Trade",-1,"Number","Number of Employers",-9999
"Cheshire","0900914160",2015,"","Total - All Industries",-1,"Number","Annual Average Employment",15960.5
"Cheshire","0900914160",2015,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",60306.9
"Cheshire","0900914160",2015,"","Total - All Industries",-1,"Number","Number of Employers",952
"Cheshire","0900914160",2015,"","Total Government",-1,"Number","Annual Average Employment",2087
"Cheshire","0900914160",2015,"","Total Government",-1,"US Dollars","Annual Average Wage",61361.9
"Cheshire","0900914160",2015,"","Total Government",-1,"Number","Number of Employers",26
"Cheshire","0900914160",2015,"42","Wholesale Trade",1,"Number","Annual Average Employment",1905.67
"Cheshire","0900914160",2015,"42","Wholesale Trade",1,"US Dollars","Annual Average Wage",66555.1
"Cheshire","0900914160",2015,"42","Wholesale Trade",1,"Number","Number of Employers",109
"Cheshire","0900914160",2015,"62","Health Care and Social Assistance",2,"Number","Annual Average Employment",1740.92
"Cheshire","0900914160",2015,"62","Health Care and Social Assistance",2,"US Dollars","Annual Average Wage",33305.9
"Cheshire","0900914160",2015,"62","Health Care and Social Assistance",2,"Number","Number of Employers",97
"Cheshire","0900914160",2015,"","Local/Municipal Government",3,"Number","Annual Average Employment",1118.33
"Cheshire","0900914160",2015,"","Local/Municipal Government",3,"US Dollars","Annual Average Wage",54359.6
"Cheshire","0900914160",2015,"","Local/Municipal Government",3,"Number","Number of Employers",13
"Chester","0900714300",2014,"23","Construction",-1,"Number","Annual Average Employment",16.67
"Chester","0900714300",2014,"23","Construction",-1,"US Dollars","Annual Average Wage",40406.1
"Chester","0900714300",2014,"23","Construction",-1,"Number","Number of Employers",10
"Chester","0900714300",2014,"31-33","Manufacturing",-1,"Number","Annual Average Employment",895
"Chester","0900714300",2014,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",69230.8
"Chester","0900714300",2014,"31-33","Manufacturing",-1,"Number","Number of Employers",11
"Chester","0900714300",2014,"44-45","Retail Trade",-1,"Number","Annual Average Employment",45.92
"Chester","0900714300",2014,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",23185.8
"Chester","0900714300",2014,"44-45","Retail Trade",-1,"Number","Number of Employers",11
"Chester","0900714300",2014,"","Total - All Industries",-1,"Number","Annual Average Employment",2118.08
"Chester","0900714300",2014,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",52199.4
"Chester","0900714300",2014,"","Total - All Industries",-1,"Number","Number of Employers",152
"Chester","0900714300",2014,"","Total Government",-1,"Number","Annual Average Employment",97.92
"Chester","0900714300",2014,"","Total Government",-1,"US Dollars","Annual Average Wage",34641.3
"Chester","0900714300",2014,"","Total Government",-1,"Number","Number of Employers",15
"Chester","0900714300",2014,"62","Health Care and Social Assistance",1,"Number","Annual Average Employment",510
"Chester","0900714300",2014,"62","Health Care and Social Assistance",1,"US Dollars","Annual Average Wage",27023.8
"Chester","0900714300",2014,"62","Health Care and Social Assistance",1,"Number","Number of Employers",11
"Chester","0900714300",2014,"72","Accommodation and Food Services",2,"Number","Annual Average Employment",204.92
"Chester","0900714300",2014,"72","Accommodation and Food Services",2,"US Dollars","Annual Average Wage",21172.7
"Chester","0900714300",2014,"72","Accommodation and Food Services",2,"Number","Number of Employers",11
"Chester","0900714300",2014,"","Local/Municipal Government",3,"Number","Annual Average Employment",89.75
"Chester","0900714300",2014,"","Local/Municipal Government",3,"US Dollars","Annual Average Wage",32137.8
"Chester","0900714300",2014,"","Local/Municipal Government",3,"Number","Number of Employers",13
"Chester","0900714300",2015,"23","Construction",-1,"Number","Annual Average Employment",19.67
"Chester","0900714300",2015,"23","Construction",-1,"US Dollars","Annual Average Wage",46981.2
"Chester","0900714300",2015,"23","Construction",-1,"Number","Number of Employers",7
"Chester","0900714300",2015,"31-33","Manufacturing",-1,"Number","Annual Average Employment",902.92
"Chester","0900714300",2015,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",72167.8
"Chester","0900714300",2015,"31-33","Manufacturing",-1,"Number","Number of Employers",11
"Chester","0900714300",2015,"44-45","Retail Trade",-1,"Number","Annual Average Employment",49.33
"Chester","0900714300",2015,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",22914.5
"Chester","0900714300",2015,"44-45","Retail Trade",-1,"Number","Number of Employers",12
"Chester","0900714300",2015,"","Total - All Industries",-1,"Number","Annual Average Employment",2127.97
"Chester","0900714300",2015,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",51195.1
"Chester","0900714300",2015,"","Total - All Industries",-1,"Number","Number of Employers",154
"Chester","0900714300",2015,"","Total Government",-1,"Number","Annual Average Employment",90.33
"Chester","0900714300",2015,"","Total Government",-1,"US Dollars","Annual Average Wage",37376.1
"Chester","0900714300",2015,"","Total Government",-1,"Number","Number of Employers",15
"Chester","0900714300",2015,"62","Health Care and Social Assistance",1,"Number","Annual Average Employment",513
"Chester","0900714300",2015,"62","Health Care and Social Assistance",1,"US Dollars","Annual Average Wage",27681
"Chester","0900714300",2015,"62","Health Care and Social Assistance",1,"Number","Number of Employers",13
"Chester","0900714300",2015,"72","Accommodation and Food Services",2,"Number","Annual Average Employment",194.75
"Chester","0900714300",2015,"72","Accommodation and Food Services",2,"US Dollars","Annual Average Wage",22670.5
"Chester","0900714300",2015,"72","Accommodation and Food Services",2,"Number","Number of Employers",8
"Chester","0900714300",2015,"54","Professional, Scientific, and Technical Services",3,"Number","Annual Average Employment",88.08
"Chester","0900714300",2015,"54","Professional, Scientific, and Technical Services",3,"US Dollars","Annual Average Wage",61237
"Chester","0900714300",2015,"54","Professional, Scientific, and Technical Services",3,"Number","Number of Employers",23
"Clinton","0900715350",2014,"23","Construction",-1,"Number","Annual Average Employment",258.58
"Clinton","0900715350",2014,"23","Construction",-1,"US Dollars","Annual Average Wage",51044.8
"Clinton","0900715350",2014,"23","Construction",-1,"Number","Number of Employers",58
"Clinton","0900715350",2014,"31-33","Manufacturing",-1,"Number","Annual Average Employment",318.33
"Clinton","0900715350",2014,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",48643.9
"Clinton","0900715350",2014,"31-33","Manufacturing",-1,"Number","Number of Employers",19
"Clinton","0900715350",2014,"44-45","Retail Trade",-1,"Number","Annual Average Employment",1441.83
"Clinton","0900715350",2014,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",22982.2
"Clinton","0900715350",2014,"44-45","Retail Trade",-1,"Number","Number of Employers",107
"Clinton","0900715350",2014,"","Total - All Industries",-1,"Number","Annual Average Employment",4066.42
"Clinton","0900715350",2014,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",36860.7
"Clinton","0900715350",2014,"","Total - All Industries",-1,"Number","Number of Employers",448
"Clinton","0900715350",2014,"","Total Government",-1,"Number","Annual Average Employment",587.58
"Clinton","0900715350",2014,"","Total Government",-1,"US Dollars","Annual Average Wage",46382
"Clinton","0900715350",2014,"","Total Government",-1,"Number","Number of Employers",13
"Clinton","0900715350",2014,"","Local/Municipal Government",1,"Number","Annual Average Employment",565.58
"Clinton","0900715350",2014,"","Local/Municipal Government",1,"US Dollars","Annual Average Wage",46048.8
"Clinton","0900715350",2014,"","Local/Municipal Government",1,"Number","Number of Employers",12
"Clinton","0900715350",2014,"62","Health Care and Social Assistance",2,"Number","Annual Average Employment",351.25
"Clinton","0900715350",2014,"62","Health Care and Social Assistance",2,"US Dollars","Annual Average Wage",38796.1
"Clinton","0900715350",2014,"62","Health Care and Social Assistance",2,"Number","Number of Employers",28
"Clinton","0900715350",2014,"72","Accommodation and Food Services",3,"Number","Annual Average Employment",258.42
"Clinton","0900715350",2014,"72","Accommodation and Food Services",3,"US Dollars","Annual Average Wage",19649.6
"Clinton","0900715350",2014,"72","Accommodation and Food Services",3,"Number","Number of Employers",26
"Clinton","0900715350",2015,"23","Construction",-1,"Number","Annual Average Employment",285.58
"Clinton","0900715350",2015,"23","Construction",-1,"US Dollars","Annual Average Wage",55351.9
"Clinton","0900715350",2015,"23","Construction",-1,"Number","Number of Employers",54
"Clinton","0900715350",2015,"31-33","Manufacturing",-1,"Number","Annual Average Employment",324.33
"Clinton","0900715350",2015,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",48700.1
"Clinton","0900715350",2015,"31-33","Manufacturing",-1,"Number","Number of Employers",20
"Clinton","0900715350",2015,"44-45","Retail Trade",-1,"Number","Annual Average Employment",1372.92
"Clinton","0900715350",2015,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",24329
"Clinton","0900715350",2015,"44-45","Retail Trade",-1,"Number","Number of Employers",105
"Clinton","0900715350",2015,"","Total - All Industries",-1,"Number","Annual Average Employment",4046.58
"Clinton","0900715350",2015,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",39590.3
"Clinton","0900715350",2015,"","Total - All Industries",-1,"Number","Number of Employers",450
"Clinton","0900715350",2015,"","Total Government",-1,"Number","Annual Average Employment",570.58
"Clinton","0900715350",2015,"","Total Government",-1,"US Dollars","Annual Average Wage",50644.7
"Clinton","0900715350",2015,"","Total Government",-1,"Number","Number of Employers",13
"Clinton","0900715350",2015,"","Local/Municipal Government",1,"Number","Annual Average Employment",547.75
"Clinton","0900715350",2015,"","Local/Municipal Government",1,"US Dollars","Annual Average Wage",50344.9
"Clinton","0900715350",2015,"","Local/Municipal Government",1,"Number","Number of Employers",12
"Clinton","0900715350",2015,"62","Health Care and Social Assistance",2,"Number","Annual Average Employment",392.25
"Clinton","0900715350",2015,"62","Health Care and Social Assistance",2,"US Dollars","Annual Average Wage",40188.5
"Clinton","0900715350",2015,"62","Health Care and Social Assistance",2,"Number","Number of Employers",29
"Clinton","0900715350",2015,"72","Accommodation and Food Services",3,"Number","Annual Average Employment",271.92
"Clinton","0900715350",2015,"72","Accommodation and Food Services",3,"US Dollars","Annual Average Wage",20379
"Clinton","0900715350",2015,"72","Accommodation and Food Services",3,"Number","Number of Employers",28
"Colchester","0901115910",2014,"23","Construction",-1,"Number","Annual Average Employment",155.83
"Colchester","0901115910",2014,"23","Construction",-1,"US Dollars","Annual Average Wage",67042.6
"Colchester","0901115910",2014,"23","Construction",-1,"Number","Number of Employers",36
"Colchester","0901115910",2014,"31-33","Manufacturing",-1,"Number","Annual Average Employment",147.42
"Colchester","0901115910",2014,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",54074.3
"Colchester","0901115910",2014,"31-33","Manufacturing",-1,"Number","Number of Employers",9
"Colchester","0901115910",2014,"44-45","Retail Trade",-1,"Number","Annual Average Employment",619.08
"Colchester","0901115910",2014,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",29455.1
"Colchester","0901115910",2014,"44-45","Retail Trade",-1,"Number","Number of Employers",56
"Colchester","0901115910",2014,"","Total - All Industries",-1,"Number","Annual Average Employment",3746.25
"Colchester","0901115910",2014,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",43415.4
"Colchester","0901115910",2014,"","Total - All Industries",-1,"Number","Number of Employers",380
"Colchester","0901115910",2014,"","Total Government",-1,"Number","Annual Average Employment",809
"Colchester","0901115910",2014,"","Total Government",-1,"US Dollars","Annual Average Wage",56387.9
"Colchester","0901115910",2014,"","Total Government",-1,"Number","Number of Employers",19
"Colchester","0901115910",2014,"62","Health Care and Social Assistance",1,"Number","Annual Average Employment",662.08
"Colchester","0901115910",2014,"62","Health Care and Social Assistance",1,"US Dollars","Annual Average Wage",33879.9
"Colchester","0901115910",2014,"62","Health Care and Social Assistance",1,"Number","Number of Employers",48
"Colchester","0901115910",2014,"","Local/Municipal Government",2,"Number","Annual Average Employment",622.25
"Colchester","0901115910",2014,"","Local/Municipal Government",2,"US Dollars","Annual Average Wage",50194.7
"Colchester","0901115910",2014,"","Local/Municipal Government",2,"Number","Number of Employers",14
"Colchester","0901115910",2014,"72","Accommodation and Food Services",3,"Number","Annual Average Employment",390.92
"Colchester","0901115910",2014,"72","Accommodation and Food Services",3,"US Dollars","Annual Average Wage",15313.1
"Colchester","0901115910",2014,"72","Accommodation and Food Services",3,"Number","Number of Employers",27
"Colchester","0901115910",2015,"23","Construction",-1,"Number","Annual Average Employment",206.42
"Colchester","0901115910",2015,"23","Construction",-1,"US Dollars","Annual Average Wage",75146.2
"Colchester","0901115910",2015,"23","Construction",-1,"Number","Number of Employers",39
"Colchester","0901115910",2015,"31-33","Manufacturing",-1,"Number","Annual Average Employment",220.83
"Colchester","0901115910",2015,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",58440.5
"Colchester","0901115910",2015,"31-33","Manufacturing",-1,"Number","Number of Employers",10
"Colchester","0901115910",2015,"44-45","Retail Trade",-1,"Number","Annual Average Employment",594.67
"Colchester","0901115910",2015,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",30255.3
"Colchester","0901115910",2015,"44-45","Retail Trade",-1,"Number","Number of Employers",50
"Colchester","0901115910",2015,"","Total - All Industries",-1,"Number","Annual Average Employment",3783.75
"Colchester","0901115910",2015,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",44837.9
"Colchester","0901115910",2015,"","Total - All Industries",-1,"Number","Number of Employers",393
"Colchester","0901115910",2015,"","Total Government",-1,"Number","Annual Average Employment",762.25
"Colchester","0901115910",2015,"","Total Government",-1,"US Dollars","Annual Average Wage",60088.1
"Colchester","0901115910",2015,"","Total Government",-1,"Number","Number of Employers",19
"Colchester","0901115910",2015,"62","Health Care and Social Assistance",1,"Number","Annual Average Employment",689.92
"Colchester","0901115910",2015,"62","Health Care and Social Assistance",1,"US Dollars","Annual Average Wage",35362.4
"Colchester","0901115910",2015,"62","Health Care and Social Assistance",1,"Number","Number of Employers",47
"Colchester","0901115910",2015,"","Local/Municipal Government",2,"Number","Annual Average Employment",572.83
"Colchester","0901115910",2015,"","Local/Municipal Government",2,"US Dollars","Annual Average Wage",54133.4
"Colchester","0901115910",2015,"","Local/Municipal Government",2,"Number","Number of Employers",14
"Colchester","0901115910",2015,"72","Accommodation and Food Services",3,"Number","Annual Average Employment",398.83
"Colchester","0901115910",2015,"72","Accommodation and Food Services",3,"US Dollars","Annual Average Wage",16548.6
"Colchester","0901115910",2015,"72","Accommodation and Food Services",3,"Number","Number of Employers",28
"Colebrook","0900516050",2014,"23","Construction",-1,"Number","Annual Average Employment",7.75
"Colebrook","0900516050",2014,"23","Construction",-1,"US Dollars","Annual Average Wage",28607.2
"Colebrook","0900516050",2014,"23","Construction",-1,"Number","Number of Employers",4
"Colebrook","0900516050",2014,"31-33","Manufacturing",-1,"Number","Annual Average Employment",-9999
"Colebrook","0900516050",2014,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",-9999
"Colebrook","0900516050",2014,"31-33","Manufacturing",-1,"Number","Number of Employers",-9999
"Colebrook","0900516050",2014,"44-45","Retail Trade",-1,"Number","Annual Average Employment",-9999
"Colebrook","0900516050",2014,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",-9999
"Colebrook","0900516050",2014,"44-45","Retail Trade",-1,"Number","Number of Employers",-9999
"Colebrook","0900516050",2014,"","Total - All Industries",-1,"Number","Annual Average Employment",-9999
"Colebrook","0900516050",2014,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",-9999
"Colebrook","0900516050",2014,"","Total - All Industries",-1,"Number","Number of Employers",-9999
"Colebrook","0900516050",2014,"","Total Government",-1,"Number","Annual Average Employment",57.25
"Colebrook","0900516050",2014,"","Total Government",-1,"US Dollars","Annual Average Wage",30955.2
"Colebrook","0900516050",2014,"","Total Government",-1,"Number","Number of Employers",8
"Colebrook","0900516050",2014,"","Local/Municipal Government",1,"Number","Annual Average Employment",52.75
"Colebrook","0900516050",2014,"","Local/Municipal Government",1,"US Dollars","Annual Average Wage",29171.7
"Colebrook","0900516050",2014,"","Local/Municipal Government",1,"Number","Number of Employers",6
"Colebrook","0900516050",2014,"","Federal Government",2,"Number","Annual Average Employment",4.5
"Colebrook","0900516050",2014,"","Federal Government",2,"US Dollars","Annual Average Wage",51862.2
"Colebrook","0900516050",2014,"","Federal Government",2,"Number","Number of Employers",2
"Colebrook","0900516050",2014,"72","Accommodation and Food Services",3,"Number","Annual Average Employment",-9999
"Colebrook","0900516050",2014,"72","Accommodation and Food Services",3,"US Dollars","Annual Average Wage",-9999
"Colebrook","0900516050",2014,"72","Accommodation and Food Services",3,"Number","Number of Employers",-9999
"Colebrook","0900516050",2015,"23","Construction",-1,"Number","Annual Average Employment",10.17
"Colebrook","0900516050",2015,"23","Construction",-1,"US Dollars","Annual Average Wage",36394.4
"Colebrook","0900516050",2015,"23","Construction",-1,"Number","Number of Employers",6
"Colebrook","0900516050",2015,"31-33","Manufacturing",-1,"Number","Annual Average Employment",-9999
"Colebrook","0900516050",2015,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",-9999
"Colebrook","0900516050",2015,"31-33","Manufacturing",-1,"Number","Number of Employers",-9999
"Colebrook","0900516050",2015,"44-45","Retail Trade",-1,"Number","Annual Average Employment",-9999
"Colebrook","0900516050",2015,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",-9999
"Colebrook","0900516050",2015,"44-45","Retail Trade",-1,"Number","Number of Employers",-9999
"Colebrook","0900516050",2015,"","Total - All Industries",-1,"Number","Annual Average Employment",-9999
"Colebrook","0900516050",2015,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",-9999
"Colebrook","0900516050",2015,"","Total - All Industries",-1,"Number","Number of Employers",-9999
"Colebrook","0900516050",2015,"","Total Government",-1,"Number","Annual Average Employment",57.08
"Colebrook","0900516050",2015,"","Total Government",-1,"US Dollars","Annual Average Wage",30961.3
"Colebrook","0900516050",2015,"","Total Government",-1,"Number","Number of Employers",8
"Colebrook","0900516050",2015,"","Local/Municipal Government",1,"Number","Annual Average Employment",53.83
"Colebrook","0900516050",2015,"","Local/Municipal Government",1,"US Dollars","Annual Average Wage",29626.7
"Colebrook","0900516050",2015,"","Local/Municipal Government",1,"Number","Number of Employers",6
"Colebrook","0900516050",2015,"","Federal Government",2,"Number","Annual Average Employment",3.25
"Colebrook","0900516050",2015,"","Federal Government",2,"US Dollars","Annual Average Wage",53066.5
"Colebrook","0900516050",2015,"","Federal Government",2,"Number","Number of Employers",2
"Colebrook","0900516050",2015,"72","Accommodation and Food Services",3,"Number","Annual Average Employment",-9999
"Colebrook","0900516050",2015,"72","Accommodation and Food Services",3,"US Dollars","Annual Average Wage",-9999
"Colebrook","0900516050",2015,"72","Accommodation and Food Services",3,"Number","Number of Employers",-9999
"Columbia","0901316400",2014,"23","Construction",-1,"Number","Annual Average Employment",79.58
"Columbia","0901316400",2014,"23","Construction",-1,"US Dollars","Annual Average Wage",43813.9
"Columbia","0901316400",2014,"23","Construction",-1,"Number","Number of Employers",16
"Columbia","0901316400",2014,"31-33","Manufacturing",-1,"Number","Annual Average Employment",-9999
"Columbia","0901316400",2014,"31-33","Manufacturing",-1,"US Dollars","Annual Average Wage",-9999
"Columbia","0901316400",2014,"31-33","Manufacturing",-1,"Number","Number of Employers",-9999
"Columbia","0901316400",2014,"44-45","Retail Trade",-1,"Number","Annual Average Employment",188.08
"Columbia","0901316400",2014,"44-45","Retail Trade",-1,"US Dollars","Annual Average Wage",42573.4
"Columbia","0901316400",2014,"44-45","Retail Trade",-1,"Number","Number of Employers",12
"Columbia","0901316400",2014,"","Total - All Industries",-1,"Number","Annual Average Employment",1037.25
"Columbia","0901316400",2014,"","Total - All Industries",-1,"US Dollars","Annual Average Wage",37590
"Columbia","0901316400",2014,"","Total - All Industries",-1,"Number","Number of Employers",128
"Columbia","0901316400",2014,"","Total Government",-1,"Number","Annual Average Employment",157.58
"Columbia","0901316400",2014,"","Total Government",-1,"US Dollars","Annual Average Wage",47956.3
"Columbia","0901316400",2014,"","Total Government",-1,"Number","Number of Employers",12
"Columbia","0901316400",2014,"62","Health Care and Social Assistance",1,"Number","Annual Average Employment",172.08
"Columbia","0901316400",2014,"62","Health Care and Social Assistance",1,"US Dollars","Annual Average Wage",26166.7
"Columbia","0901316400",2014,"62","Health Care and Social Assistance",1,"Number","Number of Employers",15
"Columbia","0901316400",2014,"","Local/Municipal Government",2,"Number","Annual Average Employment",140.42
"Columbia","0901316400",2014,"","Local/Municipal Government",2,"US Dollars","Annual Average Wage",45878.4
"Columbia","0901316400",2014,"","Local/Municipal Government",2,"Number","Number of Employers",9
"Columbia","0901316400",2014,"81","Other Services (except Public Administration)",3,"Number","Annual Average Employment",49.67
"Columbia","0901316400",2014,"81","Other Services (except Public Administration)",3,"US Dollars","Annual Average Wage",13659.4
